"movie_title","no_of_char","character_name"
"Wanda Chamber","7","Burt Dukakis, Adam Grant, Sean Williams, Milla Keitel, Matthew Leigh, Dan Streep, Gene Mckellen"
"War Notting","9","Grace Mostel, Helen Voight, Natalie Hopkins, Mary Tandy, Minnie Zellweger, Cuba Allen, Salma Nolte, Fay Winslet, Humphrey Willis"
"Wardrobe Phantom","8","Nick Wahlberg, Kirk Jovovich, Angelina Astaire, Walter Torn, Warren Nolte, River Dean, Gregory Gooding, Thora Temple"
"Warlock Werewolf","6","Grace Mostel, Helen Voight, Will Wilson, Groucho Williams, Humphrey Garland, Audrey Bailey"
"Wars Pluto","4","Mary Tandy, Minnie Zellweger, Ed Guiness, Burt Temple"
"Wash Heavenly","5","Mena Temple, Spencer Peck, Susan Davis, Morgan Mcdormand, Salma Nolte"
"Wasteland Divine","6","Lucille Tracy, Cameron Zellweger, Daryl Crawford, Jayne Nolte, Al Garland, Jayne Silverstone"
"Watch Tracy","5","Val Bolger, Fay Kilmer, Cary Mcconaughey, Groucho Sinatra, Jeff Silverstone"
"Waterfront Deliverance","6","Joe Swank, Christian Gable, Elvis Marx, Michelle Mcconaughey, Sean Williams, Ben Harris"
"Watership Frontier","6","Milla Peck, Dan Harris, Angela Hudson, Albert Nolte, Cate Mcqueen, Michael Bolger"
"Wedding Apollo","10","Ed Chase, Christian Gable, Uma Wood, Val Bolger, Warren Nolte, Harrison Bale, Liza Bergman, Albert Johansson, Ian Tandy, Humphrey Garland"
"Weekend Personal","10","Ed Chase, Fred Costner, Julia Mcqueen, Jim Mostel, Spencer Depp, Sylvester Dern, Greta Malden, Vivien Basinger, Humphrey Garland, Reese West"
"Werewolf Lola","7","Cuba Olivier, Groucho Sinatra, Kenneth Pesci, Gene Willis, Ben Harris, Vivien Basinger, Oprah Kilmer"
"West Lion","9","Zero Cage, Cameron Streep, Sean Williams, Cary Mcconaughey, Morgan Hopkins, Cuba Allen, Albert Johansson, Humphrey Garland, Gregory Gooding"
"Westward Seabiscuit","6","Penelope Guiness, Vivien Bergen, Penelope Pinkett, Charlize Dench, Kevin Garland, Lucille Dee"
"Whale Bikini","5","Ed Chase, Audrey Olivier, Henry Berry, Rip Winslet, Gregory Gooding"
"Whisperer Giant","3","Milla Peck, Jessica Bailey, Bela Walken"
"Wife Turn","6","Woody Hoffman, Julia Barrymore, Gina Degeneres, Cameron Zellweger, Greta Malden, Michael Bolger"
"Wild Apollo","4","Joe Swank, Gary Phoenix, Lisa Monroe, Reese West"
"Willow Tracy","2","Reese Kilmer, James Pitt"
"Wind Phantom","3","Charlize Dench, Ed Guiness, Renee Ball"
"Window Side","4","Lucille Tracy, Anne Cronyn, Gina Degeneres, William Hackman"
"Wisdom Worker","7","Sissy Sobieski, Reese Kilmer, Woody Jolie, Jim Mostel, Susan Davis, Laura Brody, William Hackman"
"Witches Panic","4","Ralph Cruz, Spencer Depp, Walter Torn, Reese West"
"Wizard Coldblooded","9","Penelope Guiness, Christian Gable, Tim Hackman, Parker Goldberg, Anne Cronyn, Mena Temple, Ray Johansson, Susan Davis, Walter Torn"
"Wolves Desire","6","Sandra Kilmer, Jayne Neeson, Cameron Wray, Jessica Bailey, Morgan Hopkins, Greta Keitel"
"Women Dorado","5","Nick Stallone, Christopher Berry, Ellen Presley, Jim Mostel, Michael Bening"
"Won Dares","5","Christian Gable, Kirsten Paltrow, Lisa Monroe, Russell Close, Julia Zellweger"
"Wonderful Drop","4","Dustin Tautou, Susan Davis, Penelope Cronyn, Humphrey Willis"
"Wonderland Christmas","5","Cuba Olivier, Woody Jolie, Chris Bridges, Harrison Bale, Humphrey Garland"
"Wonka Sea","2","Julia Mcqueen, Henry Berry"
"Words Hunter","6","Gene Willis, Susan Davis, Scarlett Bening, Adam Hopper, Fay Winslet, Ian Tandy"
"Worker Tarzan","9","Zero Cage, Penelope Pinkett, Jayne Neeson, Susan Davis, Russell Bacall, Julianne Dench, Minnie Kilmer, Meryl Gibson, Rock Dukakis"
"Working Microcosmos","5","Val Bolger, Kenneth Torn, Lucille Dee, Geoffrey Heston, Rock Dukakis"
"World Leathernecks","8","Gary Phoenix, Penelope Pinkett, Christian Neeson, Jayne Neeson, Chris Bridges, Sidney Crowe, Vivien Basinger, Debbie Akroyd"
"Worst Banger","4","Parker Goldberg, Kirsten Akroyd, Spencer Depp, Matthew Carrey"
"Wrath Mile","4","Spencer Depp, Cate Harris, Russell Temple, Kenneth Hoffman"
"Wrong Behavior","9","Milla Peck, Gary Phoenix, Cary Mcconaughey, Sidney Crowe, Morgan Mcdormand, Ed Mansfield, Mena Hopper, Gregory Gooding, Thora Temple"
"Wyoming Storm","6","Bette Nicholson, Woody Hoffman, Sidney Crowe, Harrison Bale, Penelope Monroe, Julia Zellweger"
"Yentl Idaho","1","Reese West"
"Young Language","5","Ed Chase, Julia Mcqueen, James Pitt, Christopher West, Mena Hopper"
"Youth Kick","5","Sandra Kilmer, Val Bolger, Scarlett Bening, Ian Tandy, Mary Keitel"
"Zhivago Core","6","Uma Wood, Nick Stallone, Gary Penn, Salma Nolte, Kenneth Hoffman, William Hackman"
"Zoolander Fiction","5","Carmen Hunt, Mary Tandy, Penelope Cronyn, Whoopi Hurt, Jada Ryder"
"Zorro Ark","3","Ian Tandy, Nick Degeneres, Lisa Monroe"
